PO ID,PO Date,Supplier ID,Category ID,Business Unit,Contract ID,Qty Ordered,Unit Price,Total Amount,Cycle Time (Days),Actual Delivery,Requested Delivery,On Time?,Delivery Variance (Days),Defect Rate (%),Payment Terms (Days),PO Status
PO-00086,08/10/2021,SUP-027,CAT-01,BU-04,CON-0104,407,"$3,218.75","$1,310,031.06",5,08/12/2021,08/15/2021,1,-3,0.72%,30,Completed
PO-00087,07/03/2021,SUP-068,CAT-04,BU-01,CON-0086,292,$450.78,"$131,626.82",28,07/29/2021,07/31/2021,1,-2,12.15%,90,Completed
PO-00088,08/25/2021,SUP-010,CAT-03,BU-01,CON-0052,405,"$1,190.60","$482,192.27",8,09/02/2021,09/02/2021,1,0,1.27%,90,Completed
PO-00089,08/21/2021,SUP-069,CAT-06,BU-03,,105,"$9,511.71","$998,729.97",11,09/01/2021,09/01/2021,1,0,5.11%,90,Completed
PO-00090,11/21/2021,SUP-009,CAT-02,BU-05,CON-0046,223,$214.33,"$47,794.85",18,12/06/2021,12/09/2021,1,-3,6.71%,90,Completed
PO-00091,04/24/2021,SUP-023,CAT-01,BU-02,,178,"$17,776.62","$3,164,238.85",10,05/03/2021,05/04/2021,1,-1,0.50%,90,Pending
PO-00092,11/25/2021,SUP-035,CAT-14,BU-02,CON-0023,269,"$1,991.70","$535,765.99",9,12/01/2021,12/04/2021,1,-3,4.47%,30,Completed
PO-00093,03/02/2021,SUP-064,CAT-12,BU-03,,294,$285.66,"$83,983.66",28,03/28/2021,03/30/2021,1,-2,6.19%,30,Cancelled
PO-00094,10/28/2021,SUP-002,CAT-10,BU-04,,92,"$1,884.02","$173,329.78",15,11/12/2021,11/12/2021,1,0,0.67%,30,Completed
PO-00095,07/24/2021,SUP-041,CAT-04,BU-05,CON-0086,27,"$4,516.25","$121,938.72",20,08/10/2021,08/13/2021,1,-3,14.45%,60,Pending
PO-00096,01/15/2021,SUP-037,CAT-14,BU-05,CON-0110,289,$212.99,"$61,555.30",14,01/27/2021,01/29/2021,1,-2,1.39%,90,Completed
PO-00097,11/16/2021,SUP-026,CAT-12,BU-04,,326,"$8,958.42","$2,920,443.63",29,12/26/2021,12/15/2021,0,11,1.01%,30,Completed
PO-00098,04/28/2021,SUP-040,CAT-06,BU-02,,493,"$5,985.87","$2,951,035.65",2,05/05/2021,04/30/2021,0,5,2.13%,30,Pending
PO-00099,09/08/2021,SUP-067,CAT-14,BU-07,CON-0099,298,"$2,398.54","$714,764.14",3,09/11/2021,09/11/2021,1,0,0.22%,30,Completed
PO-00100,11/14/2021,SUP-017,CAT-13,BU-04,,202,"$21,209.83","$4,284,385.79",29,12/24/2021,12/13/2021,0,11,3.23%,60,Completed
PO-00101,08/03/2021,SUP-026,CAT-01,BU-03,CON-0064,239,"$1,477.20","$353,050.58",17,08/19/2021,08/20/2021,1,-1,7.75%,30,Completed
PO-00102,02/10/2021,SUP-060,CAT-14,BU-05,CON-0033,424,$656.94,"$278,542.30",29,03/08/2021,03/11/2021,1,-3,2.51%,60,Completed
PO-00103,07/05/2021,SUP-012,CAT-01,BU-04,CON-0104,134,"$7,845.12","$1,051,246.37",15,07/21/2021,07/20/2021,0,1,2.86%,60,Completed
PO-00104,01/18/2021,SUP-071,CAT-12,BU-04,,63,$627.83,"$39,553.13",7,01/23/2021,01/25/2021,1,-2,1.92%,60,Completed
PO-00105,01/12/2021,SUP-011,CAT-02,BU-05,CON-0046,228,"$1,873.94","$427,257.64",11,01/22/2021,01/23/2021,1,-1,1.86%,90,Completed
PO-00106,07/02/2021,SUP-022,CAT-13,BU-07,CON-0096,219,"$11,787.25","$2,581,406.68",20,07/20/2021,07/22/2021,1,-2,6.30%,90,Completed
PO-00107,08/05/2021,SUP-005,CAT-04,BU-04,CON-0086,32,"$10,851.06","$347,234.00",3,08/06/2021,08/08/2021,1,-2,1.26%,30,Completed
PO-00108,09/26/2021,SUP-068,CAT-04,BU-04,CON-0086,401,"$1,601.08","$642,031.61",37,11/02/2021,11/02/2021,1,0,7.13%,90,Completed
PO-00109,04/11/2021,SUP-050,CAT-13,BU-05,,459,"$3,770.40","$1,730,612.32",15,04/26/2021,04/26/2021,1,0,4.71%,90,Completed
PO-00110,08/08/2021,SUP-021,CAT-14,BU-02,,406,$984.41,"$399,671.55",30,09/05/2021,09/07/2021,1,-2,5.03%,30,Completed
PO-00111,08/13/2021,SUP-046,CAT-10,BU-03,,358,$761.86,"$272,745.99",26,09/09/2021,09/08/2021,0,1,11.44%,60,Completed
PO-00112,01/19/2021,SUP-073,CAT-06,BU-03,CON-0029,497,"$5,083.34","$2,526,420.84",9,01/26/2021,01/28/2021,1,-2,1.47%,90,Pending
PO-00113,03/08/2021,SUP-078,CAT-04,BU-04,,315,"$1,263.66","$398,051.52",13,04/01/2021,03/21/2021,0,11,6.02%,30,Completed
PO-00114,12/28/2021,SUP-042,CAT-06,BU-01,,397,"$4,536.94","$1,801,166.61",18,01/27/2022,01/15/2022,0,12,14.53%,60,Completed
PO-00115,11/22/2021,SUP-051,CAT-12,BU-02,,375,$276.15,"$103,554.93",45,01/06/2022,01/06/2022,1,0,10.79%,30,Completed
PO-00116,09/18/2021,SUP-079,CAT-09,BU-06,,158,$957.90,"$151,348.04",38,10/31/2021,10/26/2021,0,5,5.13%,90,Cancelled
PO-00117,07/23/2021,SUP-074,CAT-09,BU-07,CON-0079,472,$37.65,"$17,771.86",14,08/14/2021,08/06/2021,0,8,1.92%,60,Pending
PO-00118,02/16/2021,SUP-019,CAT-13,BU-06,CON-0067,326,"$5,719.90","$1,864,688.60",3,02/18/2021,02/19/2021,1,-1,1.34%,90,Completed
PO-00119,03/08/2021,SUP-009,CAT-01,BU-06,,376,"$6,141.89","$2,309,349.84",28,04/19/2021,04/05/2021,0,14,8.92%,90,Completed
PO-00120,08/18/2021,SUP-049,CAT-03,BU-02,CON-0094,84,"$2,366.44","$198,781.17",21,09/05/2021,09/08/2021,1,-3,3.06%,30,Completed
PO-00121,11/04/2021,SUP-010,CAT-15,BU-06,,281,$278.34,"$78,214.29",3,11/07/2021,11/07/2021,1,0,2.11%,90,Completed
PO-00122,11/21/2021,SUP-022,CAT-06,BU-07,,98,"$4,016.81","$393,647.65",28,01/06/2022,12/19/2021,0,18,6.18%,90,Completed
PO-00123,01/08/2021,SUP-013,CAT-15,BU-01,CON-0112,219,$159.59,"$34,950.04",3,01/11/2021,01/11/2021,1,0,0.60%,60,Cancelled
PO-00124,05/06/2021,SUP-038,CAT-15,BU-02,CON-0112,251,$259.48,"$65,128.91",12,05/18/2021,05/18/2021,1,0,0.55%,90,Completed
PO-00125,12/12/2021,SUP-024,CAT-14,BU-08,,429,"$1,602.85","$687,623.61",23,01/02/2022,01/04/2022,1,-2,12.03%,30,Completed
PO-00126,03/03/2021,SUP-045,CAT-06,BU-07,CON-0029,420,"$4,060.58","$1,705,445.53",10,03/13/2021,03/13/2021,1,0,1.72%,90,Completed
PO-00127,10/10/2021,SUP-011,CAT-06,BU-07,CON-0029,410,"$3,795.35","$1,556,094.26",25,11/02/2021,11/04/2021,1,-2,1.84%,90,Completed
PO-00128,02/06/2021,SUP-022,CAT-10,BU-04,CON-0074,104,"$3,818.31","$397,104.43",41,04/08/2021,03/19/2021,0,20,6.09%,90,Completed
PO-00129,11/26/2021,SUP-009,CAT-13,BU-02,CON-0096,267,"$10,673.63","$2,849,860.12",29,12/26/2021,12/25/2021,0,1,12.44%,90,Completed
PO-00130,07/17/2021,SUP-054,CAT-01,BU-02,CON-0064,494,"$2,337.77","$1,154,858.16",10,08/15/2021,07/27/2021,0,19,6.46%,60,Completed
PO-00131,08/28/2021,SUP-069,CAT-15,BU-06,CON-0112,312,$255.43,"$79,693.48",22,09/18/2021,09/19/2021,1,-1,3.82%,90,Completed
PO-00132,02/22/2021,SUP-052,CAT-09,BU-01,CON-0073,138,"$12,418.01","$1,713,685.60",43,04/05/2021,04/06/2021,1,-1,12.81%,30,Completed
PO-00133,11/09/2021,SUP-063,CAT-13,BU-02,CON-0096,227,"$3,722.69","$845,050.50",17,11/26/2021,11/26/2021,1,0,5.23%,60,Pending
PO-00134,08/15/2021,SUP-028,CAT-13,BU-07,CON-0096,82,"$50,498.58","$4,140,883.48",3,08/18/2021,08/18/2021,1,0,0.41%,60,Completed
PO-00135,04/19/2021,SUP-004,CAT-05,BU-03,,128,$982.62,"$125,774.84",8,04/26/2021,04/27/2021,1,-1,5.93%,60,Completed
PO-00136,10/27/2021,SUP-060,CAT-13,BU-07,CON-0096,251,"$13,823.25","$3,469,636.93",26,11/22/2021,11/22/2021,1,0,5.11%,60,Completed
PO-00137,10/06/2021,SUP-034,CAT-14,BU-02,,293,"$2,083.69","$610,520.22",14,10/28/2021,10/20/2021,0,8,1.94%,60,Completed
PO-00138,07/09/2021,SUP-053,CAT-09,BU-01,CON-0017,89,"$1,390.82","$123,783.33",34,08/20/2021,08/12/2021,0,8,6.03%,30,Completed
PO-00139,09/10/2021,SUP-036,CAT-12,BU-07,,112,"$2,294.29","$256,959.99",29,10/09/2021,10/09/2021,1,0,10.01%,60,Cancelled
PO-00140,08/22/2021,SUP-048,CAT-13,BU-05,,328,"$32,621.50","$10,699,852.98",17,09/17/2021,09/08/2021,0,9,5.59%,30,Completed
PO-00141,11/21/2021,SUP-039,CAT-06,BU-04,,413,"$5,617.13","$2,319,875.73",26,12/16/2021,12/17/2021,1,-1,5.77%,30,Completed
PO-00142,05/21/2021,SUP-064,CAT-01,BU-05,,19,"$45,589.64","$866,203.09",25,06/13/2021,06/15/2021,1,-2,3.40%,30,Completed
PO-00143,07/22/2021,SUP-069,CAT-01,BU-08,CON-0104,431,"$2,411.29","$1,039,263.97",28,08/25/2021,08/19/2021,0,6,3.06%,90,Completed
PO-00144,06/24/2021,SUP-034,CAT-10,BU-03,CON-0093,115,"$2,605.90","$299,679.07",13,07/07/2021,07/07/2021,1,0,2.36%,60,Completed
PO-00145,03/09/2021,SUP-075,CAT-10,BU-05,CON-0037,299,$734.73,"$219,683.41",25,04/06/2021,04/03/2021,0,3,4.31%,90,Completed
PO-00146,01/04/2021,SUP-049,CAT-01,BU-05,CON-0064,210,"$1,513.63","$317,862.26",25,02/13/2021,01/29/2021,0,15,2.00%,30,Completed
PO-00147,10/06/2021,SUP-011,CAT-06,BU-08,CON-0029,108,"$88,937.71","$9,605,272.72",12,10/16/2021,10/18/2021,1,-2,4.43%,90,Completed
PO-00148,02/03/2021,SUP-017,CAT-09,BU-07,CON-0079,3,"$37,655.37","$112,966.11",8,02/10/2021,02/11/2021,1,-1,7.65%,60,Completed
PO-00149,09/25/2021,SUP-068,CAT-04,BU-04,,116,$285.99,"$33,175.35",37,11/11/2021,11/01/2021,0,10,4.55%,90,Completed
PO-00150,08/19/2021,SUP-040,CAT-01,BU-03,,234,$594.66,"$139,150.79",13,08/31/2021,09/01/2021,1,-1,1.30%,30,Completed
PO-00151,01/05/2021,SUP-044,CAT-09,BU-08,CON-0055,416,$119.16,"$49,572.04",19,01/22/2021,01/24/2021,1,-2,6.09%,60,Pending
PO-00152,07/24/2021,SUP-003,CAT-12,BU-03,,193,"$1,120.32","$216,221.93",27,08/17/2021,08/20/2021,1,-3,5.16%,60,Cancelled
PO-00153,09/04/2021,SUP-003,CAT-15,BU-01,CON-0112,130,$704.93,"$91,641.29",22,09/24/2021,09/26/2021,1,-2,5.87%,60,Completed
PO-00154,07/10/2021,SUP-054,CAT-06,BU-02,CON-0069,215,"$8,865.64","$1,906,113.55",10,07/17/2021,07/20/2021,1,-3,2.98%,60,Completed
PO-00155,09/16/2021,SUP-026,CAT-04,BU-04,CON-0086,210,"$3,710.96","$779,302.19",16,10/02/2021,10/02/2021,1,0,7.37%,30,Completed
PO-00156,05/16/2021,SUP-043,CAT-01,BU-04,,428,"$3,176.83","$1,359,684.61",25,06/08/2021,06/10/2021,1,-2,7.65%,90,Completed
PO-00157,01/03/2021,SUP-013,CAT-15,BU-05,CON-0112,238,$831.05,"$197,789.86",2,01/03/2021,01/05/2021,1,-2,2.62%,60,Completed
PO-00158,10/12/2021,SUP-041,CAT-13,BU-07,CON-0096,5,"$857,196.06","$4,285,980.32",42,11/21/2021,11/23/2021,1,-2,6.94%,60,Completed
PO-00159,05/20/2021,SUP-035,CAT-02,BU-02,,205,$900.03,"$184,506.91",21,06/10/2021,06/10/2021,1,0,5.83%,30,Completed
PO-00160,02/14/2021,SUP-022,CAT-04,BU-02,,433,"$1,361.05","$589,336.56",20,03/06/2021,03/06/2021,1,0,12.63%,90,Completed
PO-00161,07/06/2021,SUP-079,CAT-13,BU-07,CON-0007,373,"$11,636.36","$4,340,363.72",43,08/18/2021,08/18/2021,1,0,4.36%,90,Completed
PO-00162,08/02/2021,SUP-009,CAT-04,BU-05,CON-0019,393,"$1,456.79","$572,517.50",38,09/07/2021,09/09/2021,1,-2,14.73%,90,Completed
PO-00163,12/11/2021,SUP-067,CAT-13,BU-02,CON-0096,329,"$7,639.10","$2,513,262.45",8,12/16/2021,12/19/2021,1,-3,0.03%,30,Completed
PO-00164,07/17/2021,SUP-061,CAT-11,BU-08,CON-0081,170,$222.47,"$37,820.07",15,07/30/2021,08/01/2021,1,-2,4.85%,60,Completed
PO-00165,05/27/2021,SUP-031,CAT-04,BU-02,CON-0086,162,$603.55,"$97,775.29",3,05/31/2021,05/30/2021,0,1,0.31%,30,Completed
PO-00166,04/18/2021,SUP-071,CAT-13,BU-01,CON-0096,336,"$13,311.11","$4,472,532.31",28,05/15/2021,05/16/2021,1,-1,3.54%,60,Pending
